row_id,prevalence_of_undernourishment
0,31.260712788709263
1,18.29823273511343
2,39.513397132735975
3,4.444015536246742
4,4.940300532699143
5,7.044937739369947
6,39.24091043364494
7,4.724493442946803
8,5.43670142806003
9,3.497731052627632
10,4.434386621985054
11,15.275224852232933
12,11.228624363655221
13,19.66978427846904
14,11.049226096823455
15,24.417895287142475
16,31.00440466726106
17,5.577997121308873
18,54.806817403364775
19,22.21246703302764
20,9.104515288372712
21,11.284748131140786
22,45.10083032683114
23,3.5650899406834125
24,42.20181431844062
25,19.27343253777758
26,6.71032785402967
27,36.66894381887202
28,24.18669020158112
29,25.41680254388637
30,15.106040758022473
31,37.34127062922307
32,8.614644440926112
33,12.423891541553214
34,2.871498210088693
35,3.922134462035163
36,6.0176428353338745
37,19.19779952610043
38,4.035602577135402
39,16.83800633420151
40,25.25849562516658
41,6.4016023465581116
42,15.221078388038906
43,27.02326647538964
44,15.890207093794816
45,41.79246968972077
46,5.0609717830931436
47,31.680425347549967
48,4.413427014155265
49,21.862648090154263
50,12.24356018360872
51,6.090410559200426
52,18.94183650646539
53,27.592137562965785
54,15.712302066793914
55,2.955757492341426
56,20.780743976210047
57,3.883635717470307
58,42.52510862652092
59,12.186396529784142
60,5.482095296914468
61,5.9154340424946845
62,4.508035854670066
63,4.460942484554571
64,22.353776983550798
65,20.46497536925808
66,16.240823434874947
67,3.103119710888462
68,15.424422519920277
69,11.372105550486681
70,16.569950938374937
71,4.551670097252232
72,3.670912225725714
73,27.452371923263446
74,19.775656133136234
75,4.2461507538266146
76,2.674082524299657
77,3.750020229957365
78,14.018053459379905
79,32.51319615427748
80,8.95838806300794
81,4.983407991793847
82,9.354697029138958
83,15.875655775954016
84,15.068215429864642
85,37.44040206322299
86,8.461427062806479
87,42.02731491381587
88,5.141305836011323
89,55.78293283470301
90,2.691080862695256
91,12.002027045733932
92,9.530337415663663
93,11.3986219332757
94,4.426026910538166
95,12.375093780949012
96,38.76653258730169
97,27.526142328998343
98,16.80941637027935
99,3.000000883117906
100,5.232809312429395
101,26.69767313193525
102,15.559949582960908
103,19.397796763437718
104,3.12271653348494
105,40.04767331311736
106,3.575384825034895
107,29.95537249157514
108,5.115779510358967
109,20.707467090725117
110,16.357489292112685
111,13.261158253525164
112,26.881482757983804
113,4.85606810749045
114,17.485162495777768
115,45.06140130912452
116,2.714942187088484
117,4.486953987820845
118,13.323174233717458
119,4.238439441435258
120,40.25928095747166
121,22.73651049175156
122,3.552319775886825
123,39.08016934059214
124,7.989350540711058
125,28.537073837926854
126,4.416007016986682
127,56.143413297668886
128,6.189309939856181
129,31.227649133989594
130,14.35326895856288
131,6.790062823414954
132,7.02370856750863
133,5.133294871066262
134,12.731329863090183
135,20.336878874484647
136,8.391137293793548
137,20.02271242442434
138,24.97746608465008
