cereal_yield,fertility_rate,population_growth,avg_value_of_food_production,gross_domestic_product_per_capita_ppp,net_oda_received_percent_gni,per_capita_food_production_variability,school_enrollment_rate_total,avg_supply_of_protein_of_animal_origin,caloric_energy_from_cereals_roots_tubers,access_to_improved_water_sources,anemia_prevalence,obesity_prevalence,open_defecation,political_stability,Urban_population_share,prevalence_of_undernourishment,country_code
935.7543654054944,5.928981318478956,2.8649311465378458,60.89133599569553,3969.519105997136,2.233562403439045,1.9680900150545328,73.03933349875919,11.024062290906882,64.12957109182621,57.932800895580904,59.061443222089956,8.293939667925411,28.933529456005164,-1.393800540556856,0.26913151918450773,31.260712788709263,889f053
4031.4521614537957,3.0006291292272227,1.2998841236724892,266.06599864950715,4527.2580445661215,4.351314731678819,4.925827280813267,96.39250668108623,14.046163643057447,68.28570743405264,71.12073748407363,36.90108386789634,2.4833034310700093,29.66578856889503,0.030556260165795664,0.3516079743524834,18.29823273511343,9e614ab
1581.9352780598026,2.3018601505088667,2.1500289000876918,111.63356017007747,18513.52451267202,1.282396762464982,2.17987163561052,88.10145390447737,47.203308260139345,28.11074968751873,97.58732414902944,27.242817604615503,18.726448190550087,1.3316208036031438,0.6515862011217262,0.3195085960523483,39.513397132735975,100c476
1127.62636402813,2.199311032322408,1.1857086422995342,334.2529602057892,10710.266707275832,1.6282413562815516,15.789067019149105,99.83705744932676,44.74514917797412,34.92169153076582,95.61151491494364,29.07691853051447,23.21854769798239,1.5491911718625877,-0.9287876706095776,0.6501692030189465,4.444015536246742,4609682
1418.987211830533,1.844364487011518,0.17357142783044746,365.21414249910134,10416.098948407769,4.900720760098316,23.771783066552164,88.08236743544727,51.586009944833776,34.32663506272193,98.55297390083422,25.00884628289115,20.010812216577104,7.564733497745669,0.9560273658997868,0.6696310417514615,4.940300532699143,be2a7f5
1582.7680053852087,3.9184150100936566,3.203028951277656,107.72765728339387,16718.781819891643,0.6582882261982458,3.880810944717195,97.2603935543172,64.0318843764692,34.084819977639064,92.64385363960092,59.64087595953607,13.44081362135737,2.9681391554358503,0.17185534562079574,0.869800334458247,7.044937739369947,7e222a7
2448.112056041439,3.4387552271893225,2.1281195350393234,114.39114891544556,1852.6735084282307,6.488161626242192,5.947639532730515,94.19266001243194,9.884698344820967,64.479927664776,66.04068129714793,33.463864746552034,7.745656959394459,0.7212606326878915,-0.7441498655490806,0.2644718380858398,39.24091043364494,066b021
2431.912942098525,1.2366235756997777,-0.4983419573504462,367.4382517002946,8928.269190399053,3.5339416336040004,26.289885976524452,96.00550945290077,40.76364789210632,42.61364054494144,100.35319326846826,24.349046874835032,17.927028536361593,0.0,0.3490503415724358,0.6919107960613514,4.724493442946803,66b86bf
1789.017840488295,4.250669227164532,2.561977323293671,268.68267149048154,3080.4589993848076,5.392429207653777,9.411110761592571,64.20789341542599,14.730994414268784,63.12309331938813,84.18168166754799,50.35032485819534,8.6281010188759,19.41416090153639,0.019875232630891783,0.5046705532267296,5.436701428060029,583201c
3783.286609461765,4.444528920899289,0.7038699266122592,270.2434678185151,5507.9050542304085,14.207248329071081,8.14620430164255,99.72336883338308,48.46535027921238,28.456873241906948,97.40750718574712,23.031459615030503,41.226103750523706,0.07933751044285381,0.9803872040666078,0.1985574056038882,3.497731052627632,0ea781c
3095.324886611911,1.6097260350103453,0.3674565302470057,89.86474374566987,8105.834114060323,3.2042049424379777,3.6403510388436557,91.04367508027792,63.74209617557852,34.16752001233231,100.68953537316679,28.158016638034816,19.33212864360756,0.0,-0.28708326940139417,0.629038898509574,4.434386621985054,2ddc563
1712.530370734106,3.0025089754930496,2.011007737086908,214.2062588841937,3975.446083395861,3.1866575667082784,2.3949484629732543,87.28142307557604,23.98133754320282,45.747140298470974,87.70612129685263,16.689285849888147,13.471954940542687,11.744960397320616,-0.33274103785715925,0.5041259278181669,15.275224852232931,b79b5f9
14716.454679670425,2.2026265051840745,0.19208807165349207,200.1324012834304,8836.165938162943,1.362556533514447,15.021907573531726,99.54646250072399,42.38414255751749,38.307932325959015,94.58491454206344,27.983033779590134,14.831737855125098,2.8241534085651194,0.7899528359421616,0.4526627695251506,11.228624363655221,f787860
1234.6749398591105,4.717507356136559,2.71455421138875,123.44316123212036,1232.4578459128913,16.724054002801093,5.137481061476149,89.70633581444277,7.989523518722402,71.3297644297587,59.93992044523782,51.289652906741104,5.3996704270694496,52.13242265480844,-0.1826601055404509,0.36619953091833635,19.669784278469038,4080343
2153.387585787787,3.040983511849908,0.7202337742240397,136.63227796459637,6465.977157839785,1.377337639390812,3.726808379462714,89.93895581720648,18.65831674793768,51.193862940816686,82.49959708142026,18.09986227586708,13.759525714473956,10.623628740873038,0.2624328379257779,0.5750553092425587,11.049226096823457,c408d26
